id,keyword,volume,difficulty,competition,cluster,status,slug,posted_at
1,心理テスト 動物 捨てる 7 匹,70,13,0,暇つぶし系,done,心理テスト-動物-捨てる-7-匹,2026-06-20
2,性格診断 論文,30,13,0,暇つぶし系,done,性格診断-論文,2026-06-20
3,嵐 性格診断 vs嵐,10,13,0,暇つぶし系,done,嵐-性格診断-vs嵐,2026-06-20
4,月曜から夜ふかし 心理テスト 四字熟語,50,15,0,暇つぶし系,todo,,
5,惑星 名前 かっこいい,390,16,0,ネーミング系,todo,,
6,ドラゴン 名前 かっこいい,320,16,0,ネーミング系,todo,,
7,ドイツ 名前 かっこいい,320,16,0,ネーミング系,todo,,
8,心理テスト パスタ,20,16,0,暇つぶし系,todo,,
9,あ ぎょうさん なぞなぞ 答え,10,16,0,暇つぶし系,todo,,
10,ユング 性格診断 8 タイプ,10,16,6,暇つぶし系,todo,,
11,岡田斗司夫 性格診断 mbti,10,16,0,暇つぶし系,todo,,
12,心理テスト月曜から夜ふかし,480,17,0,暇つぶし系,todo,,
13,なぞなぞ 100 キーホルダー,110,17,17,暇つぶし系,todo,,
14,運動会 スローガン 四字熟語 かっこいい,70,17,0,ネーミング系,todo,,
15,競馬 二つ名最近,40,17,0,ネーミング系,todo,,
16,競馬 二つ名 なんj,30,17,0,ネーミング系,todo,,
17,心理テスト 腕の組み方,10,17,0,暇つぶし系,todo,,
18,座談会 心理テスト,10,17,0,暇つぶし系,todo,,
19,狐 名前 かっこいい,320,18,0,ネーミング系,todo,,
20,プロレス 技名,260,18,0,ネーミング系,todo,,
21,蛇 名前 かっこいい,210,18,0,ネーミング系,todo,,
22,なぞなぞ 朝は4本昼は2本夜は3本,140,18,0,暇つぶし系,todo,,
23,野球 ポジション 性格診断,110,18,0,暇つぶし系,todo,,
24,なぞなぞえほん,90,18,70,暇つぶし系,todo,,
25,なぞなぞ の 本 キーホルダー,40,18,5,暇つぶし系,todo,,
26,脳トレ ピアノ 楽譜,40,18,3,暇つぶし系,todo,,
